Authors;Title;Publication;Volume;Number;Pages;Year;Publisher;Abstract;Keywords;Links;DOI
"Bogusz, Claire Ingram; Laurell, Christofer; Sandström, Christian; ";Tracking the digital evolution of entrepreneurial finance: the interplay between crowdfunding, blockchain technologies, cryptocurrencies, and initial coin offerings;IEEE Transactions on Engineering Management;67;4;1099-1108;2020;IEEE;A vibrant development is currently taking place in entrepreneurial finance due to the field's digital evolution over recent years. This article aims to assess the interplay between four of the key phenomena that has fuelled this development, namely crowdfunding, blockchain technologies, cryptocurrencies, and initial coin offerings (ICOs). By making use of social media analytics, public discussions on social media concerning crowdfunding, blockchain technologies, cryptocurrencies, and ICOs have been systematically tracked in social media over three time periods between the May 6, 2017, and October 2, 2018. In doing so, a total of 197 770 captured posts across social media platforms have been collected and analyzed. The results illustrate that discussions on blockchain technologies dominated the interplay in the first analyzed time period, that discussions on cryptocurrencies and ICOs dominated the interplay in the second analyzed time period, while discussions concerning blockchain technologies, cryptocurrencies, and ICOs highly converge in the third time period. By illustrating this shift over the analyzed time periods and by offering a systematic exploration of key characteristics of the interplay at hand, this article adds to previous literature on entrepreneurial finance by providing an empirical contribution which details the coevolution of these phenomena in recent years.;Blockchain , crowdfunding , cryptocurrencies , initial coin offerings (ICOs) , social media analytics (SMA);https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9115055;https://doi.org/10.1109/TEM.2020.2984032
"Baber, Hasnan; ";Blockchain-based crowdfunding;Blockchain Technology for Industry 4.0;;;117-130;2020;Springer;Crowdfunding has disrupted the way of financing and allowed the startups to raise funds without much hustle and bureaucracy. In the existing model, Pool of people contribute small amounts of money towards a project or cause and expect some financial or non-financial returns. A crowdfunding platform takes a commission and matches the needs and expectations of funders and fundraisers. Blockchain technology is a decentralized ledger, more efficient, safe and tamper-proof system of nodes in connection. Introduction of blockchain in crowdfunding will make it more reliable, transparent, trusted, decentralized, cost-efficient and convenient. A crowdfunding platform which was acting as an intermediary before will only provide the technology and name is its own crypto-currency which will act as a medium of transaction and exchange. Fundraisers will generate their own currency and everyone on the network will be notified about the project. Funders will buy this crypto-currency to claim its share in the project and can withdraw any time by selling the currency and losing the share in a project or transferring it to another project. Blockchain can further improve this unique and contemporary way of raising funds by making out more reliable and transparent.;;https://biblioteca.inatel.br/cict/acervo%20publico/sumarios/Ebooks/Springer%20Text%20books%20-%20Organizado%20por%20ano/2020_Blockchain%20and%20Industry%204.0_%20Overview%20-%20convergence%20-%20and%20Analysis.pdf#page=123;https://doi.org/10.1007/978-981-15-1137-0_6
"Muneeza, Aishath; Arshad, Nur Aishah; Arifin, Asma Tajul; ";The application of blockchain technology in crowdfunding: towards financial inclusion via technology;International journal of management and applied research;5;2;82-98;2018;;The emergence of innovative digital financial technologies, namely blockchain and crowdfunding, indicates new ways to reach the poor and economically vulnerable groups. This paper contributes to the emerging literature on financial technology by presenting the case of crowdfunding in financial inclusion. The rationale behind this inquiry is to demonstrate the relevance of crowdfunding to financial inclusion, and how might blockchain technology fuel the development of crowdfunding. This paper also constitutes one of the first attempts to analyse crowdfunding in Malaysia and Shariah-compliant crowdfunding. In this paper, a desk research is conducted where journal articles, books, magazines, newspapers, industry reports published on the subject matter are reviewed critically. To analyse the development of crowdfunding in Malaysia, 6 crowdfunding platforms are examined. The outcome of this research suggests that crowdfunding is a viable means to promote financial inclusion, and blockchain technology could help mitigate the current issues faced by platform operators.;"Blockchain Technology; Crowdfunding; Financial Inclusion; Islamic Finance and Banking; Islamic Crowdfunding;";https://www.ijmar.org/v5n2/18-007.pdf;
"Cai, Cynthia Weiyi; ";Disruption of financial intermediation by FinTech: a review on crowdfunding and blockchain;Accounting & Finance;58;4;965-992;2018;Wiley Online Library;"Based on a systematic review of influential publications among 402 paperspublished between 2010 and 2018, this paper identifies gaps in Economics andFinance research regarding two applications of FinTech: crowdfunding andblockchain. Analysing these records shows that (i) current research on FinTechis fragmented with limited theoretical grounding; (ii) crowdfunding andblockchain can be regarded as two innovations that may disrupt traditionalfinancial intermediation but in different ways; (iii) crowdfunding platformssubstitute for traditional financial intermediaries and serve as a new interme-diary,  without eliminating  the need  for  intermediation;  (iv) similar  tocrowdfunding, blockchain also creates new intermediaries; and (v) the trustelement inherent in blockchain enables blockchain to eliminate the need forintermediaries in some financial areas but not all.";"Blockchain; Crowdfunding; Financial intermediation; FinTech";https://onlinelibrary.wiley.com/doi/pdf/10.1111/acfi.12405;https://doi.org/10.1111/acfi.12405
"Zhu, Huasheng; Zhou, Zach Zhizhong; ";Analysis and outlook of applications of blockchain technology to equity crowdfunding in China;Financial innovation;2;1;01. Nov;2016;Springer;"Equity crowdfunding via the Internet is a new channel of raising money for startups. It features low barriers to entry, low cost, and high speed, and thus encourages innovation. In recent years, equity crowdfunding in China has experienced some developments. However, some problems remain unsolved in practice. Blockchain is a decentralized and distributed ledger technology to ensure data security, transparency, and integrity. Because it cannot be tampered with or forged, the technology is deemed to have great potential in the finance industry. This study examines current problems in the practice of equity crowdfunding in China. Based on the analysis of the characteristics of blockchain technology, this study further explores its practical applications in equity crowdfunding. 1) Blockchain technology may be a secure, efficient, low-cost solution for the registration of stocks and shares of a firm financed by crowdfunding; 2) Blockchain technology simplifies the transaction and transfer of crowdfunding equities, and thus facilitates their circulation; 3) Blockchain technology enables peer to peer transactions between investors and entrepreneurs, and solves the problems of regulatory compliance and security of fund management; Blockchain technology can be used to develop a voting system for crowdfunders, which enables them to be involved in corporate governance. This helps protect the rights and interests of small investors; 5) Blockchain technology helps regulators know about market conditions, and supports regulatory activities such as managing investors and fighting money laundering.";Blockchain, Equity crowdfunding, Equity registration and transaction, Voting of Shareholders, Regulation of equity crowdfunding;https://link.springer.com/content/pdf/10.1186/s40854-016-0044-7.pdf;https://doi.org/10.1186/s40854-016-0044-7
"Heieck, Felix; Ermakova, Tatiana; Fabian, Benjamin; Lessmann, Stefan; ";Equity crowdfunding based on the blockchain??A Delphi study;A Delphi Study (June 18, 2018);;;;2018;;"Purpose: Decentralized, blockchain-based equity crowdfunding has potential to close the equity-funding gap faced by startups. The present paper investigates the driving forces of equity crowdfunding and the impact of the blockchain.

Design: In a two-round, expert-based Delphi survey, ten market-driving forces within equity crowdfunding are identified and ranked according to how they influence equity crowdfunding, and in turn, how they are influenced by blockchain technology.

Findings: Savings and financial benefits, facilitation of the financing process, satisfaction of intrinsic and social needs, outreach of projects and products, costs from equity funding, and financial provision were found to have a positive effect, whereas risks from equity crowdfunding, educational gap, investor protection, and monitoring problems and asymmetric information were found to have a negative impact on equity funding.

Research limitations: Any Delphi study depends on the selection and interactive votings of experts.

Practical implications: Experts assessed that the blockchain has a positive influence on all of those forces, also to a certain extent counteracting negative effects. This indicates that Equity Crowdfunding Based on the Blockchain can be viable approach for financing startups if the counteracting effects are sufficiently mitigated.

Originality: Blockchain-based equity crowdfunding has the potential of becoming disruptive.";Blockchain, Crowdfunding, Equity, Bitcoin;https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3198083_code2090306.pdf?abstractid=3198083&mirid=1;https://dx.doi.org/10.2139/ssrn.3198083
"Hua, Xiuping; Zheng, Yanfeng; ";Financial technologies: Artificial intelligence, blockchain, and crowdfunding;;;;;2019;Emerald Publishing Limited London;;;;
"Mohamed, Hazik; ";Real Estate Crowdfunding for Public Housing on the Blockchain;Crowdfunding in the Public Sector;;;107-126;2021;Springer;The rise of frontier digital technologies for financial services, like peer-to-peer (P2P) crowdfunding, indicates new ways to access alternative financing over traditional financing. This research contributes to the nascent literature on digital finance in real estate crowdfunding, and its potential of being applied to public housing. The idea of such a platform on the blockchain is this paper's second conceptual innovation. The rationale is to illustrate the significance of crowdfunding to alternative financing, and how blockchain technology might improve the weaknesses of crowdfunding. The real estate industry needs to embrace new solutions, capable of dealing with its traditional problems and to increase efficiency, sustainability, accountability and prevent market failures within the economy. In this new market environment, we review real estate crowdfunding acceptance in the US, Europe and Asia as well as conceptualize tech-enhanced platform that adopts the blockchain to improve the crowdfunding process for real estate public housing. This can be achieved by exploring new peer-to-peer (P2P) opportunities with better management of information and reduction in origination costs.;Digitalization, Distributed ownership, Peer-to-peer, Risk-sharing, Tokenization;;https://doi.org/10.1007/978-3-030-77841-5_7
"Fan, Ye; Ao, Chen; Jingren, Liang; ";Research on the Application Model of Public Welfare Crowdfunding Based on Blockchain Technology;2021 2nd International Conference on E-Commerce and Internet Technology (ECIT);;;441-445;2021;IEEE;"With the improvement of China's economic level and science and technology, the public welfare crowdfunding industry is booming, and at the same time, it has gradually exposed many existing shortcomings in the industry. Aiming at the current pain points in the field of public welfare crowdfunding, based on the open consensus, decentralization, and non-tamperable technical characteristics of the blockchain and its available points in the field of public welfare crowdfunding, this article introduces the concept of ""public welfare points"", innovatively A new application mode of public welfare crowdfunding with reasonable incentive operation mechanism is proposed.";Blockchain technology , Public welfare crowdfunding , Application model;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9406839;https://doi.org/10.1109/ECIT52743.2021.00098
"Berawi, Mohammed Ali; Reyes, Gabriel; Sari, Mustika; Saroji, Gunawan; ";Developing Public-Private Partnership Model with Blockchain-Based Crowdfunding Concept for Port City Project;Proceedings of the 2nd International Scientific Conference on Innovations in Digital Economy: SPBPU IDE-2020;;;01. Jul;2020;;Port-city development is believed as a strategy to increase regional economic growth by improving the welfare of coastal communities, particularly in the archipelagic countries. However, this development needs huge investment to construct both its physical and social infrastructure components. Therefore, the participation of the private sector in the financing aspect is encouraged to improve the project viability and enhance the performance of the capital budget. This research aims to develop an alternative public-private partnership (PPP) model that can attract the interest of both institutional and individual private investors, by proposing financing model that incorporate the crowdfunding method. To achieve its objective, this research adopts both qualitative and quantitative methods conducted in three stages, by firstly carrying out desk study and benchmarking to develop the crowdfunding-based PPP financing scheme, and followed by life-cycle cost (LCC) analysis in the next stage, to examine the financial feasibility of the proposed scheme by taking into account the initial cost, operation & maintenance, and revenue. Lastly, along with an institutional scheme considering the sharing of investment and responsibilities between private companies and individual crowdfunders, this research also formulates the workflow of the transactions conducted in the crowdfunding framework built in the Blockchain platform. The results of this study show that the crowdfunding-based PPP model is feasible to be developed in the investment of landed housing projects of the port-city development, with 15.54% of the internal rate of return obtained from the implementation of the proposed financing mechanism.;"Port-city; Crowdfunding; PPP; financing scheme; Blockchain";https://dl.acm.org/doi/pdf/10.1145/3444465.3444476;https://doi.org/10.1145/3444465.3444476
"Sahu, Megha; Gangaramani, Ashish; Bharambe, Asha; ";Secured Crowdfunding Platform Using Blockchain;Intelligent Computing and Networking;;;27-39;2021;Springer;Crowdfunding is a platform can be used to collect small amount from large number of people. In Traditional platform it is not easy to track the usage of the fund. Hence campaign creator can use money for their own need.This paper proposes a solution on how to prevent such fraud in crowdfunding platforms using blockchain and smart contracts. The main aim of this solution is to propose a solution that can reduce those effects. The important feature of Blockchain is that it maintains transparency among the nodes in the network. We are proposing a solution keeping this feature in mind to implement campaign as smart contracts designed for crowdfunding websites where campaign managers will need to get approval based for their requirements from backers. The proposed solution has been implemented using Ethereum and tested on Rinkeby Network.;Smart contract, Backer, Campaign, Campaign creator/manager, Rinkeby network, Metamask;;https://doi.org/10.1007/978-981-15-7421-4_3
"__________, __; ________, _; ";THE USE OF BLOCKCHAIN IN CROWDFUNDING;;;;;;; Nowadays, financing sector offers various functions and provides many opportunities for people from the banking environment as well as for ordinary people. However, nowadays, traditional banking system has many boundaries that inhibit the expansion and development of activities and slow the current existing processes. Should the banking environment be completely reconsidered? Alternatively, is there different optimal solution? This article describes current problems in the sphere of banking services, the definition of crowdfunding and advantages that can be obtained with the use of blockchain technology.;Crowdfunding, Blockchain, banking system, fund-raising, platforms, private & public blockchain;http://www.vestnik.nauka.kz/wp-content/uploads/1-%D0%9D%D0%B0%D1%83%D1%80%D1%8B%D0%B7%D0%B1%D0%B0%D0%B5%D0%B2.pdf;
"Hoang, Thinh Gia; Nguyen, Giang Ngo Tinh; Van Nguyen, Anh; ";Can Blockchain Technology-based Crowdfunding advance the Social Value Creation;Academy of Management Proceedings;2021;1;10310;2021;Academy of Management Briarcliff Manor, NY 10510;This paper explores the hands-on applications of blockchain technology in social crowdfunding platforms (SCPs). The emergence of blockchain technology in financial world promise a promising solution for the current difficulties, and facilitate the development of SCPs. By conducting a qualitative research, we shed the lights on how blockchain technology can be employed to facilitate the social value creation of crowdfunding. To the end, we identified facilitators of the social value creation process through blockchain technology such as reducing operational costs, increasing trust and transparency, and facilitating a broader crowdfunding community, and the barriers of this application in terms of development costs and legal requirements.;;;https://doi.org/10.5465/AMBPP.2021.10310abstract
"Lee, Winson; Rahim, Nordiana; ";Decentralized Application for Charity Organization Crowdfunding using Smart Contract and Blockchain;Applied Information Technology And Computer Science;2;2;236-248;2021;;There are limitations as to the current centralization of crowdfunding web applications that are found online. The first problem found in this project is the issue of integrity involving important assets such as transactional records in crowdfunding. The second issue is the issue of traceability whereby modifications in the assets should be traceable with evidence. Lastly, the issue of third-party dependency and no point-to-point transfer. This project aims to develop, design, and evaluate the crowdfunding web application system based on blockchain using smart contract. The scope of the project is open to all registered users who want to use the website for crowdfunding purpose. The expected result of this project is allowing individuals to register their accounts and start the process of crowdfunding by transferring their cryptocurrency online.;lockchain, crowdfunding, data protection, ethereum, smart contract;https://publisher.uthm.edu.my/periodicals/index.php/aitcs/article/view/2202/1284;
"Athreya, A Manoj; SM, Nagarajath; HL, Gururaj; ";Limpid and Unperturbed Decentralized Application for crowdfunding using Blockchain Technology;Interactive Systems Workshop 2019;;;May 16;2019;;Crowdfunding as the name relates its raising of funds from a vast number of sources. This can be an individual or an organization that merely wants to contribute for a noble cause. In layman terms, it can be referred to as funding given by an anonymous crowd with a belief that they are helping a section of the society to fight and overcome their monetary problems. This is being achieved via the Internet where people or groups raise funds to help others during a natural catastrophe or some community-oriented social projects, entrepreneurial ventures, travel, medical expenses and many more. The present-day scenario is such that once people transfer money into a particular venture no one knows what happens to the money generated. As a solution, one needs to track down the flow of money and thereby maintaining appropriate transparency. We propose an approach through this paper, of a decentralized system built using Blockchain Technology where once the investor funds money to a venture the transactions will be captured. If in case, the endeavor initiated accumulates the money within the stipulated time then it is utilized or else the money is returned back to the investor. This platform will eliminate the middlemen completely. It is transparent and more secure and thus acts as a huge savior for the people in need. A decentralized approach to crowdfunding forfeits all fees for the investor, gives the receiver more share of the project, and allows for a peer-to-peer relationship between the investor and receiver.;CROWDFUNDING, BLOCKCHAIN, SMART CONTRACTS, PEER-TO-PEER NETWORK, INTERNET;;
"Greene, Edward F; Amico, Jeffrey M; Bala, Surya; ";Blockchain, marketplace lending and crowdfunding: emerging issues and opportunities in fin tech;Research Handbook on Shadow Banking;;;;2018;Edward Elgar Publishing;The financial sector appears to be on the verge of a significant transformation. Traditional market participants such as banks, investment advisors and institutional investors are beginning to face disruptive pressure from a wide array of advances in financial technology, or 'fin tech'. New forms of competition have emerged, seeking to address perceived inefficiencies in various core business lines of the financial system, including lending money, raising capital and transmitting money between individuals. As this transformation plays out, regulators will need to adapt existing regulatory structures or create new ones to keep up. In particular, they must find the proper balance between protecting consumers from abuse while also allowing these new technologies to modernize and improve financial markets. This chapter focuses on three of these recent developments in closer detail: marketplace lending, crowdfunding and blockchain technology. While the applications differ, all three rely on a common model: eliminating the role of traditional intermediaries and thus enabling market participants to connect and transact with each other directly. This form of ?dis-intermediation? promises speed and efficiency, as processes like approving loan applications, raising capital and transferring money can now take mere seconds (or less) instead of days or weeks. At the same time, it also creates risk for consumers, as highly regulated entities such as banks stand to be replaced by software applications and peer-topeer networks that largely sit outside of existing regulatory frameworks. Regulators must carefully develop policies that maximize the benefits of these technologies for consumers while mitigating their costs.;;;https://doi.org/10.4337/9781785362637.00018
"Nourahmadi, Marziyeh; Sadeqi, Hojjatollah; ";Application of Social Recommendation Process in Islamic Crowdfunding (presentation of Blockchain-Based Model);Islamic Economics & Banking;10;35;221-248;2021;Islamic Economics & Banking;One of the methods that are used as financing today and have attracted the attention of researchers is the use of crowdfunding. Crowdfunding is possible in four ways. One of the concepts that can be related to this issue and be challenged is the discussion of how the relationship between the donor and the investor. In this study, using a descriptive-analytical method, we first explain crowdfunding and then presented a proposed mechanism for the social advisor to support non-profit blockchain-based financing. In this regard, we examine the preferences of donors, the relationship between donors and investment, and the characteristics of dynamic financing to increase funding success rates and donor satisfaction. It then introduces a recommendatory model that lists the donors for the various campaigns that investors have created for crowdfunding. This research can be the basis for implementing such systems on the web to expand humanitarian activities, and its results can be used for non-governmental organizations, charities, etc.;Charity, Social network, Social financing, Recommender system, Blockchain;http://mieaoi.ir/article-1-1045-en.pdf;
"Hamilton, J Christopher; ";Crowdfunding & Cryptocurrency-A New Conduit to Film Finance;Rutgers Bus. LJ;16;;94;2020;HeinOnline;"Despite the normal volatility in the film industry, it remains as robust as ever and is projected to grow to $47.9 billion dollars by 2022, slightly outpacing the U.S. economy. Prior to the latest wave of media consolidation, seven major studios controlled four-fifths of the film industry's revenue in 2017. Superhero films and other costly genres represent a large portion of that revenue, which have dominated the marketplace. This over- indexing in the production of genre films is a result of the major studios trying to generate massive audiences by producing tent pole pictures. The combined industry box office revenue in 2018 was almost 3.3 billion, largely due to the success of genre films. However, these types of revenues do not cultivate much of an appetite in the industry for funding arthouse films. Nor does this trend of massive budgets bode well for the inevitability bursting the spending bubble or a mega picture flop.
The increased fragmentation of viewing audiences, the shrinking theatrical windows, and the exploitation of the indie film market by streaming services like Netflix, has shifted the economics of the film business. From the arthouse moviemaker to the major studio producer or film financier/venture capitalist, everyone is looking for new diversified investors to help mitigate their risk and stabilize their investments through strategic co-financing models. That is why many in the entertainment business see the emergence of crowdfunding and cryptocurrency as the answer to some of these film financing dilemmas. Through changes in equity crowdfunding legislation combined with new technological advances like blockchain, producers may be able to effectively hedge their costly investments, while generating a more expansive investor pool to fund the dearth of arthouse pictures.
These high-tech innovations, new business models and legislative advancements promise to overcome the longstanding barriers to progressive changes in the film industry like combating inefficient and unfair business practices and the exclusivity of film investments as an asset class limited to the wealthy and well-connected. There are still lots of regulatory, technological and credibility hurdles to surmount before crowdfunding with cryptocurrency becomes a viable or practical industry-wide solution for raising capital. But there's strong evidence that the latter might be a real possibility sooner than we think. Equity crowdfunding coupled with cryptocurrency through blockchain will be the key to unlocking that future capital. So, whether cryptocurrency through blockchain helps connect unbanked communities to the global economy, supplant Byzantine bureaucracies in film financing or just guarantees fair dealing in a business transaction with potentially dubious investors, it will certainly live up to its moniker as the internet 2.0 for Hollywood. Revolutionizing film finance is now more important than ever as the Covid- 19 tsunami envelopes the entertainment business and our global economy.";;https://3ebed0a6-bdf9-4f9f-bdb5-8d619ef65e5f.filesusr.com/ugd/b8c02f_08b9592d62f04183b9feea68bd6f7dce.pdf;
"Aba, A; Virgo, J; Sorell, M; ";Equity crowdfunding with blockchain;;;;;2017;Tallinn University of Technology;"bitcoin?s underlying technology, the blockchain, or the distributed consensus ledger, has allowed mutually distrustful parties to securely transact virtual currency stored on a decentralised database with minimal time expense and nancial friction, e ectively eliminating the need for a trusted intermediary. the realisation that this technology can be more broadly applied to other digital assets led to the advent of smart contracts; an agreement whose execution is both automated and enforced by the cryptographic consensus of the distributed ledger. this revelation bares significant ramifications for the financial services industry. in particular, blockchain technology presents an opportunity for emerging companies to undercut the large industry incumbents who have enormous amounts of capital tied up in traditional methods of transacting and storing nan- cial information. however, before blockchain can be integrated into existing businesses, the risks of the technology need to be explored and further understood. for instance, the recent security breach of an ethereum block- chain application, ?the dao?, in july 2016 saw the equivalent of usd$50 million in cryptocurrency at stake1, highlighting the pertinence of research into blockchain. this case reminded investors that, whilst theoretically sound, exploits in the underlying technology are still possible, and a single such security vulnerability can expose all the users of an entire blockchain network. considering cryptocurrencies and blockchain applications are expect to become the new fabric of trade and commerce, this uncertainty is alarming. through our research into applications of blockchain within crowdfunding, we hope to further under- standing of how the technology may be realistically and securely integrated into existing businesses, and society more broadly.";"	Blockchain; smart contracts; cryptocurrency; Ethereum; equity crowdfunding; distributed ledger; bitcoin; fintech";;https://hdl.handle.net/2440/114564
"Schulaka, Carly; ";William Michael Cunningham on Impact Investing, Blockchain, and Crowdfunding;Journal of Financial Planning;31;9;14-17;2018;Financial Planning Association;;;https://web.s.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=3&sid=c69df6ef-6acb-4372-a0f7-841294b8a7f1%40redis;
"Cali, Umit; Stekli, Joseph; ";Potential impacts of blockchain based equity crowdfunding on the economic feasibility of offshore wind energy investment;;;;;2020;American Institute of Physics;This paper explores the potential to reduce the levelized cost of electricity (LCOE) of offshore wind technology through the use of digitalized f inancial innovations made possible by Distributed Ledger Technology (DLT). Specifically, this paper proposed a novel application of DLT to crowdsource project finance for clean energy projects. An introduction to DLT technology and some of its potential applications is provided f irst. Next, the potential to move from a more centralized, top-down energy system to a more decentralized, two-way transactive energy system enabled by DLT is discussed. Within this new energy system framework, the idea of crowd-sourced equity funding of the capital cost of renewable energy is introduced. The impact of crowdfunded equity on the LCOE is then explored via the creation of a theoretical offshore wind installation off the coast of New Jersey. An existing offshore wind capital cost model is modified for use in the U.S., and an existing wind annual energy production model is utilized to provide inputs into a LCOE model. Finally, the potential impacts that DLT based crowdfunded equity may have on cost of debt, debt tenor, and debt-to-equity ratio are also input into the LCOE model in order to examine the range of potential impacts it may have on offshore wind LCOE.;;https://ntnuopen.ntnu.no/ntnu-xmlui/bitstream/handle/11250/2733259/Cali-Potential+impacts+of+blockchain.pdf?sequence=2;https://doi.org/10.1063/5.0021029
"Muneeza, Aishath; Mustapha, Zakariya; ";Application of blockchain technology in crowdfunding to fuel the rise of the rest globally;A Journal of Interest Free Microfinance;7;1;Sep 26;2019;;Technology has advanced with the spread of internet services. Statistics by the United States have estimated that internet facilities have been made available to over a third of the total world population and, in the same vein, access to mobile phones has been rendered to about 85 percent of the population. Crowdfunding finds widespread support via internet platforms and is gaining momentum as a means to empower people and businesses hitherto unable to access banking or access limited facilities therefrom. Today, it has become a mechanism for raising funds to build multi-billion-dollar industries. It is said that the difficulties encountered while struggling to source funds by newly-formed businesses following the 2018 global financial meltdown led to the emergence of crowdfunding. The objective of this research is to present a discourse on how crowdfunding can be facilitated leveraging on blockchain technology. This is a qualitative research where data from literature on the subject matter is analysed and conclusions derived. Outcome of this research revealed that integrating blockchain technology with crowdfunding is possible and benefits all parties involved in the transaction. This integration reduces transaction cost and, from governance perspective, provides certainty and trust to the system and mitigates risk for the parties. ;"Blockchain Technology; Crowdfunding; Islamic Finance";https://www.researchgate.net/profile/Aishath-Muneeza/publication/341793958_Application_of_Blockchain_Technology_in_Crowdfunding_to_Fuel_the_Rise_of_the_Rest_Globally/links/5ed52103458515294527c024/Application-of-Blockchain-Technology-in-Crowdfunding-to-Fuel-the-Rise-of-the-Rest-Globally.pdf;
